page_id	page_title	article_edits	article_bot_edits	article_bot_editors	article_registered_edits	article_registered_editors	article_anon_edits	article_anon_editors	article_sum_bytes_changed	article_insertion_edits	article_bytes_added	article_removal_edits	article_bytes_removed	talk_edits	talk_bot_edits	talk_bot_editors	talk_registered_edits	talk_registered_editors	talk_anon_edits	talk_anon_editors	talk_sum_bytes_changed	talk_insertion_edits	talk_bytes_added	talk_removal_edits	talk_bytes_removed
43379	Ballista	35	3	1	11	9	21	15	47195	20	23839	15	23356	0	0	0	11	0	0	0	0	0	0	0	0
62622	Ballistic_Missile_Defense_Organization	2	0	0	1	1	1	1	22	1	11	1	11	0	0	0	1	0	0	0	0	0	0	0	0
38025	Ballistic_missile	15	1	1	9	7	5	5	900	9	846	4	54	0	0	0	9	0	0	0	0	0	0	0	0
4519	Ballpoint_pen	49	2	1	23	17	24	13	2532	15	998	25	1534	0	0	0	23	0	0	0	0	0	0	0	0
3332	Ballroom_dance	29	3	2	21	9	5	5	2087	16	420	12	1667	0	0	0	21	0	0	0	0	0	0	0	0
39218	Ballsbridge	1	0	0	1	1	0	0	42	1	42	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4994	Ballu_tundu	1	0	0	1	1	0	0	98	1	98	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4644	Balmoral_Castle	15	0	0	10	8	5	4	819	9	568	6	251	0	0	0	10	0	0	0	0	0	0	0	0
64985	Baloch_people	42	1	1	41	24	0	0	4640	25	3346	13	1294	0	0	0	41	0	0	0	0	0	0	0	0
61128	Balochi_language	33	2	2	30	11	1	1	21889	20	10753	10	11136	0	0	0	30	0	0	0	0	0	0	0	0
4687	Balochistan,_Pakistan	190	8	4	102	39	80	32	59752	110	29060	73	30692	0	0	0	102	0	0	0	0	0	0	0	0
85336	Baloncesto_Superior_Nacional	15	1	1	11	6	3	3	1348	9	1058	4	290	0	0	0	11	0	0	0	0	0	0	0	0
86069	Balor	3	0	0	0	0	3	1	580	2	290	1	290	0	0	0	0	0	0	0	0	0	0	0	0
64042	Balrog	5	0	0	4	2	1	1	9	2	5	1	4	0	0	0	4	0	0	0	0	0	0	0	0
4689	Balsall_Heath	6	0	0	6	2	0	0	361	5	361	0	0	0	0	0	6	0	0	0	0	0	0	0	0
75220	Baltic_Germans	8	0	0	8	8	0	0	935	6	930	1	5	0	0	0	8	0	0	0	0	0	0	0	0
3335	Baltic_Sea	47	2	2	27	21	18	10	2569	32	2322	11	247	0	0	0	27	0	0	0	0	0	0	0	0
4213	Baltic_languages	18	1	1	16	9	1	1	24643	10	12287	8	12356	0	0	0	16	0	0	0	0	0	0	0	0
47727	Baltimore_County,_Maryland	24	2	2	18	9	4	2	3726	16	2366	7	1360	0	0	0	18	0	0	0	0	0	0	0	0
4340	Baltimore_Orioles	115	2	2	81	40	32	23	19219	57	11004	41	8215	0	0	0	81	0	0	0	0	0	0	0	0
4293	Baltimore_Ravens	124	10	2	72	46	42	33	195655	63	98434	55	97221	0	0	0	72	0	0	0	0	0	0	0	0
48314	Baltimore–Washington_International_Airport	111	1	1	68	35	42	25	8264	56	4655	46	3609	0	0	0	68	0	0	0	0	0	0	0	0
4540	Balts	2	1	1	1	1	0	0	4	0	0	1	4	3	1	1	1	1	0	0	21898	2	241	1	21657
56606	Bamako	9	2	2	6	6	1	1	652	7	650	1	2	0	0	0	6	0	0	0	0	0	0	0	0
4565	Bambara_language	9	1	1	7	6	1	1	238	5	132	2	106	0	0	0	7	0	0	0	0	0	0	0	0
4896	Bamberg	10	2	2	5	5	3	2	878	4	800	3	78	0	0	0	5	0	0	0	0	0	0	0	0
39029	Bamboo	49	5	3	26	22	18	17	228113	32	114242	17	113871	0	0	0	26	0	0	0	0	0	0	0	0
60554	Bamburgh	2	0	0	2	2	0	0	740	1	740	0	0	0	0	0	2	0	0	0	0	0	0	0	0
1889	Ban_on_assault_rifles	1	0	0	1	1	0	0	21	1	21	0	0	0	0	0	1	0	0	0	0	0	0	0	0
4948	Banacek	17	1	1	14	8	2	2	1639	10	1276	5	363	0	0	0	14	0	0	0	0	0	0	0	0
4665	Banach_algebra	4	0	0	2	2	2	1	135	2	107	1	28	0	0	0	2	0	0	0	0	0	0	0	0
46676	Banach_fixed-point_theorem	4	0	0	4	3	0	0	264	4	264	0	0	0	0	0	4	0	0	0	0	0	0	0	0
3989	Banach_space	6	1	1	2	2	3	2	245	6	245	0	0	0	0	0	2	0	0	0	0	0	0	0	0
NULL	Banach–Tarski_paradox	0	0	0	0	0	0	0	0	0	0	0	0	7	1	1	0	4	0	0	2851	6	2851	0	0
38940	Banana	50	3	3	47	25	0	0	4104	27	1747	22	2357	0	0	0	47	0	0	0	0	0	0	0	0
86077	Banba	1	0	0	1	1	0	0	49	1	49	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3960	Banca_d'Italia	13	0	0	10	2	3	3	7303	10	7262	2	41	0	0	0	10	0	0	0	0	0	0	0	0
57465	Banco_Ambrosiano	7	0	0	6	4	1	1	238	3	201	3	37	0	0	0	6	0	0	0	0	0	0	0	0
4499	Band	44	7	1	20	13	17	10	4618	24	2373	18	2245	0	0	0	20	0	0	0	0	0	0	0	0
69719	Band-Aid	25	2	1	13	8	10	8	4438	13	2336	12	2102	0	0	0	13	0	0	0	0	0	0	0	0
